<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
050424;165100;92.46;92.46;92.44;92.4425;992000
050424;165200;92.435;92.4425;92.4325;92.44;720000
050424;165300;92.4425;92.445;92.4325;92.4375;740000
050424;165400;92.4475;92.46;92.44;92.45;1092000
050424;165500;92.46;92.4675;92.445;92.4475;1430000
050424;165600;92.45;92.475;92.45;92.4725;768000
050424;165700;92.4775;92.4825;92.46;92.46;800000
050424;165800;92.475;92.49;92.475;92.4875;689000
050424;165900;92.4875;92.4925;92.4825;92.4925;427000
050424;170000;92.4925;92.4975;92.4825;92.495;619000
050424;170100;92.4975;92.505;92.4925;92.505;851000
050424;170200;92.49;92.4925;92.4875;92.49;357000
050424;170300;92.4875;92.4925;92.485;92.4925;401000
050424;170400;92.4925;92.4975;92.48;92.49;1001000
050424;170500;92.49;92.49;92.4875;92.4875;342000
050424;170600;92.4875;92.4925;92.4825;92.4925;555000
050424;170700;92.4925;92.495;92.485;92.495;427000
050424;170800;92.4975;92.5;92.4925;92.5;990000
050424;170900;92.49;92.49;92.4625;92.485;776000
050424;171000;92.4875;92.4875;92.4625;92.4625;514000
050424;171100;92.4625;92.4775;92.455;92.47;947000
050424;171200;92.475;92.4925;92.4675;92.48;736000
050424;171300;92.48;92.49;92.4775;92.4875;840000
050424;171400;92.48;92.49;92.4775;92.4875;725000
050424;171500;92.4875;92.49;92.4775;92.4775;297000
050424;171600;92.48;92.48;92.4775;92.4775;73000
050424;171700;92.475;92.4775;92.4675;92.47;634000
050424;171800;92.4675;92.47;92.4675;92.4675;300000
050424;171900;92.4675;92.475;92.4625;92.4725;659000
050424;172000;92.47;92.4725;92.4675;92.4675;530000
050424;172200;92.465;92.4775;92.465;92.4725;420000
050424;172300;92.4675;92.4775;92.4675;92.4775;80000
050424;172400;92.4775;92.4775;92.465;92.465;93000
050424;172500;92.4625;92.4625;92.4625;92.4625;1000
050424;172600;92.4675;92.4675;92.4575;92.4575;295000
050424;172700;92.4575;92.46;92.45;92.4575;1328000
050424;172800;92.4625;92.465;92.46;92.4625;503000
050424;172900;92.465;92.47;92.465;92.4675;200000
050424;173000;92.4675;92.4675;92.4675;92.4675;5000
050424;173100;92.47;92.47;92.47;92.47;208000
050424;173200;92.47;92.4725;92.47;92.4725;150000
050424;173300;92.47;92.4725;92.47;92.4725;1706000
050424;173400;92.47;92.4725;92.47;92.47;1371000
050424;173500;92.47;92.47;92.47;92.47;675000
050424;173600;92.47;92.4775;92.47;92.47;1551000
050424;173700;92.4725;92.48;92.47;92.48;485000
050424;173800;92.48;92.48;92.4725;92.4725;398000
050424;173900;92.4725;92.4725;92.4725;92.4725;404000
050424;174000;92.4725;92.4725;92.47;92.4725;1079000
050424;174100;92.4725;92.4775;92.47;92.475;2462000
050424;174200;92.475;92.475;92.47;92.475;1005000
050424;174300;92.475;92.4875;92.4725;92.4825;1326000
050424;174400;92.4825;92.4875;92.4775;92.4775;1442000
050424;174500;92.4775;92.4875;92.4725;92.4775;1365000
050424;174600;92.48;92.48;92.475;92.4775;1322000
050424;174700;92.4775;92.485;92.475;92.48;1302000
050424;174800;92.485;92.49;92.475;92.475;2623000
050424;174900;92.475;92.4825;92.455;92.475;2360000
